,Name,Address,LevelNo,LotSize,SPADate,ActualPrice,PredictedPrice
16710,11 MONT KIARA,"D-30-2, JALAN KIARA 1",30,3315,2016-10-20,2500000,2807220.75
4104,WANGSA MAJU SEKSYEN 1,"102, OFF JALAN 3/27A, OFF JALAN 1/27A",2,531,2016-10-20,238000,167482.921875
29659,DESA PANDAN FLAT BLOCK B,"B13-4-6, DESA PANDAN",4,721,2016-10-20,130000,171576.21875
11900,SERI MAS,"5-9-1, JALAN 4/89A",9,958,2016-10-20,365000,327316.71875
36724,BUKIT ANGGERIK,"35-3, JALAN 2/154",35,603,2016-10-20,56000,88728.671875
35324,PRIMA DAMANSARA,"8D-1-1 (D31), JALAN CHEMPENAI",1,1356,2016-10-20,1300000,1241326.0
12905,VISTA MUTIARA,"B-18-19, BATU 61/2, JALAN KEPONG",18,1001,2016-10-20,485000,405990.8125
38131,SUTERA BUKIT TUNKU,"B-3-2, JALAN TUN ISMAIL",3,5522,2016-10-20,3700000,2854916.25
33095,LAMAN SURIA,"00-05, OFF JALAN BUKIT KIARA BAYU",0,506,2016-10-20,67100,388375.3125
19866,PUTRA SURIA RESIDENSI,"B-15-6, JALAN JELAWAT 2",15,748,2016-10-20,380000,354115.75
3077,ROYAL DOMAIN SRI PUTRAMAS 2,"B2-26-01, JALAN PUTRAMAS",26,1173,2016-10-20,560000,550422.8125
3078,ROYAL DOMAIN SRI PUTRAMAS 2,"A1-15-07, JALAN PUTRAMAS",15,1130,2016-10-20,580000,557044.375
38132,SUTERA BUKIT TUNKU,"B-3-1, JALAN TUN ISMAIL",3,5522,2016-10-20,3700000,2854916.25
12095,HAMPSHIRE RESIDENCES,"M1B-4-210, PERSIARAN HAMPSHIRE OFF JALAN AMPANG",4,2852,2016-10-20,2187000,2138241.5
5625,KETUMBAR HEIGHTS,"A-10-5, JALAN 6/95B",10,755,2016-10-21,315000,306683.09375
20545,BAYU TASIK 2,"A-4-9, JALAN PERMAISURI 5",4,926,2016-10-21,420000,389685.71875
26348,WINNER COURT B,"16-4-10, JALAN 1/125A",4,829,2016-10-21,320000,284758.3125
34416,THE OVAL,"36-1, LORONG KUDA",36,7793,2016-10-21,7500000,7773201.5
24281,MANDA'RINA COURT,"B-3A-1, JALAN 10/142",3,775,2016-10-21,360000,311992.25
28171,SERI MALAYSIA,"09-27, JALAN 3/141",9,657,2016-10-21,150000,111763.6171875
22512,SEGAR APARTMENT,"D-04-173, JALAN 1A",4,667,2016-10-21,160000,181202.171875
9447,MERCU SUMMER SUITES,"B-23-05, 8 JALAN CENDANA",23,493,2016-10-21,480000,488549.59375
25032,BUSTAN SHAMELIN,"13-2-9, JALAN 2/91A",2,1023,2016-10-21,330000,274463.25
35156,PKNS KAMPUNG BARU,"20R, RAJA MUDA MUSA",4,843,2016-10-21,225000,190487.609375
36497,ANGSA APARTMENT,"M1-4-25, JALAN 6-38A",4,753,2016-10-21,298000,270090.34375
14272,LA GRANDE KIARA,"A-13-3A, JALAN DUTA KIARA",13,1991,2016-10-21,1050000,1017864.75
17877,DESA TUN RAZAK,"4-2-4, JALAN 16/118B",2,657,2016-10-21,150000,146770.78125
4103,WANGSA MAJU SEKSYEN 1,"M1-2-4, OFF JALAN 3/27A, OFF JALAN 1/27A",2,531,2016-10-21,200000,167482.921875
27052,BAM VILLAS,"42C-3-5, JALAN PRIA",3,1173,2016-10-21,400000,396445.71875
27449,MANDY VILLA,"A-05-02, JALAN SEGAMBUT",5,1012,2016-10-21,400000,333951.09375
36596,KELOMPOK DAHLIA / MELATI,"7-3-1 (K.DAHLIA), JALAN 15/56, AMPANG/ULU KLANG",3,549,2016-10-21,170000,129626.5859375
12630,TWINS@ DAMANSARA HEIGHTS,"B-23A-3, NO. 2, JALAN DAMANLEL",23,1195,2016-10-21,1160000,1130740.375
14915,KUCHAI AVENUE,"2-19-8, JALAN KUCHAI LAMA",19,926,2016-10-21,478000,489427.25
5038,TIFFANI KIARA,"A-06-06, CHANGKAT DUTA KIARA",6,1711,2016-10-21,1280000,1176634.25
3778,BUKIT OUG,"7-1-3A, JALAN 34/155",1,1464,2016-10-21,388000,401053.125
17657,DESA PETALING,"50-5-4, LORONG 1/125C",5,506,2016-10-21,86000,90932.859375
22996,THE PANORAMA,"B-28-05, OFF JALAN AMPANG",28,592,2016-10-21,815000,982456.625
34961,SERI DUTA II,"13-4, JALAN LANGGAK DUTA",13,1916,2016-10-21,1300000,1300435.875
27006,TAMAN BATU PERMAI,"26-8-11, JALAN 1/18B",8,612,2016-10-22,50000,94420.171875
24525,PALACE COURT (SRI ISTANA),"A-13A-3A, JALAN KUCHAI JAYA",13,1312,2016-10-22,610000,522641.84375
35408,PEARL SURIA RESIDENCE,"S-12-18, NO.2A JALAN SEPADU",12,762,2016-10-24,538000,536298.3125
28914,PERMAI RIA,"C-8-4, JALAN 1/18B, TAMAN BATU PERMAI",8,970,2016-10-24,370000,304043.21875
5177,PLATINUM LAKE PV13,"B-13A-5, PV13, NO.2, JALAN DANAU SAUJANA 2, TAMAN DANAU KOTA",13,1593,2016-10-24,648000,591758.9375
19651,SUASANA SENTRAL,"B-16-05, JALAN STESYEN SENTRAL 5, OFF TUN SAMBANTHAN",16,1410,2016-10-24,1120000,1051611.375
4251,THE LEAFZ @ DEDAUN SUNGAI BESI,"B-26-8, JALAN HANG TUAH 2",26,1025,2016-10-24,660000,638473.1875
31501,VILLA SCOTT,"33-18-10 (VSC-18-3), LORONG SCOTT",18,1375,2016-10-24,850000,830376.625
36244,PARK SEVEN,"G-12, NO. 5, PERSIARAN KLCC",7,3649,2016-10-24,4150000,3392836.25
24016,VILLA PANTAI,"A-18-3A, JALAN PANTAI MURNI 8",18,1019,2016-10-24,735000,640177.9375
9735,PUNCAK BANYAN,"B-07-10, JALAN 3/118B",7,807,2016-10-24,310000,312555.6875
5624,KETUMBAR HEIGHTS,"D-10-11, JALAN 6/95B",10,753,2016-10-24,330000,309705.75
33237,THE NOMAD SUCASA,"1-06(A-06), JALAN AMPANG",1,797,2016-10-24,610000,541300.5
34960,SERI DUTA II,"10-4, JALAN LANGGAK DUTA",10,1884,2016-10-24,1350000,1137800.75
31098,DESA PANDAN FLAT BLOCK E,"E6-0-4, JALAN KAMPUNG PANDAN",0,721,2016-10-24,230000,210883.046875
13247,IDAMAN SUTERA,"C-15-10, JALAN 13/21D",15,850,2016-10-24,320000,296898.96875
28217,DELIMA J,"J4-4-7, JALAN KAMPUNG PANDAN",4,958,2016-10-24,320000,283777.75
36698,CASCADIUM,"28-0-10, JALAN PENAGA BANGSAR",0,312,2016-10-24,28600,318546.21875
30010,MONT KIARA BANYAN,"3A-2, JALAN KIARA",3,2648,2016-10-24,1400000,1412650.875
2067,TAMAN MELATI,"C9-T2-U6, JALAN 1/5C",2,581,2016-10-24,175000,148532.3125
23794,SRI LATA,"3-2-3, JALAN 1/129",2,1141,2016-10-24,375000,309710.15625
28741,SUTERA MAYA,"B-06-2, BATU 6.5, JALAN PUCHONG",6,1324,2016-10-24,575000,604237.75
22995,THE PANORAMA,"A-23A-3 (TYPE 3A), OFF JALAN AMPANG",23,1798,2016-10-24,2310000,1979391.5
32274,MENARA POLO,"H1-15-07, OF JALAN KAMPUNG PANDAN",15,1485,2016-10-24,460000,597023.3125
25754,MENARA DUTA 1,"151-6-7, JALAN 1/38B",6,1442,2016-10-24,580000,537881.0
37626,1A STONOR,"UNIT 2.2.2, JALAN STONOR",3,1141,2016-10-24,735000,731683.125
16299,DE TROPICANA,"82-05-35, JALAN 2/116B",5,1066,2016-10-24,370000,313467.65625
21320,PRISMA PERDANA,"C-15-14, JALAN MIDAH 8A",15,818,2016-10-24,325000,323201.75
11899,SERI MAS,"1-5-4, JALAN 4/89A",5,861,2016-10-24,295000,313787.375
38445,SRI LANGKAWI,"39-2-18, FLAT SRI LANGKAWI 2",2,560,2016-10-24,190000,133346.21875
17355,PLATINUM LAKE PV15,"13-09, JALAN DANAU SAUJANA 1",13,1324,2016-10-24,500000,532892.625
32275,MENARA POLO,"H1-15-08, OF JALAN KAMPUNG PANDAN",15,1485,2016-10-24,460000,597023.3125
3777,BUKIT OUG,"6-9-7, JALAN 3A/155",9,775,2016-10-24,295000,277796.84375
33459,TAMAN CASTLEFIELD APARTMENT,"135-2 BLOK A, JALAN 1C/149",2,689,2016-10-24,135000,122390.84375
9318,PETALING INDAH,"10-2-11, JALAN 1C/149",2,861,2016-10-25,300000,266289.21875
33656,PERUMAHAN AWAM SERI LANGKAWI 1,"02-04-12, OFF JALAN GOMBAK",4,560,2016-10-25,155000,123577.90625
32362,PUDU IMPIAN 1,"109-2-15, JALAN PUDU ULU",2,667,2016-10-25,178000,140130.03125
37677,MUTIARA SENTUL CONDOMINIUM,"2-3-2, 2, JALAN 9/48A",3,907,2016-10-25,330000,339173.53125
27407,TAMAN SRI SENTOSA,"27-1-4, JALAN KLANG LAMA",1,700,2016-10-25,165000,109845.6015625
3281,SERINGIN RESIDENCES,"A-8-6, JALAN SENANG RIA",8,2056,2016-10-25,1220000,1133844.875
12182,PARKVIEW SERVICE APARTMENT,"13A-4, OFF LORONG PERAK",13,517,2016-10-25,488000,531170.5625
29702,NORTHPOINT RESIDENCES,"A-10-2, MEDAN SYED PUTRA",10,1410,2016-10-25,1410000,1209980.875
2066,TAMAN MELATI,"C8-T2-7, JALAN 1/5C",2,581,2016-10-25,165000,148532.3125
9446,MERCU SUMMER SUITES,"B-12-07, 8 JALAN CENDANA",12,493,2016-10-25,488000,488746.71875
5176,PLATINUM LAKE PV13,"A-17-05, JALAN DANAU SAUJANA 1",17,1313,2016-10-25,545000,524689.4375
14354,ENDAH REGAL,"C-10-5, JALAN 3/149E",10,1141,2016-10-25,370000,377599.0625
21319,PRISMA PERDANA,"A-12-12, JALAN MIDAH 8A",12,818,2016-10-25,320000,328578.0625
23477,THE WESTSIDE TWO,"TW2-35-2, JALAN RESIDEN UTAMA",35,1679,2016-10-25,1280000,1214032.125
2846,VILLA WANGSAMAS CONDO,"A-18-3A, JALAN SERI WANGSA 2 (JALAN 34/26)",18,1270,2016-10-25,560000,543585.4375
10080,28 MONT KIARA,"B1-31-1, JALAN DUTA KIARA",31,2540,2016-10-25,2130000,2106452.75
37300,GEMBIRA PARK,"C-6-3A, JALAN RIANG",6,1055,2016-10-25,440000,487401.0625
3776,BUKIT OUG,"13-6-2, JALAN 3A/155",6,1222,2016-10-25,250000,370327.75
31333,DIAMOND REGENCY,"19-03, JALAN 3/50",19,1324,2016-10-25,600000,552960.9375
30227,VILLA FLORA (TTDI FASA 7),"146-2-3, J.BURHANUDDIN HELMI",2,2002,2016-10-25,1200000,1062416.625
30443,PANGSAPURI BUKIT AWANSARI (OG COURT),"17-7-12, JALAN AWAN JAWA",7,1184,2016-10-25,380000,420722.0
34876,MENARA SEPUTIH,"100-313, JALAN KLANG LAMA",1,398,2016-10-25,215000,152942.859375
26640,PLATINUM HILL PV6,"B-16-1, JALAN MELATI UTAMA 3",16,1270,2016-10-25,525000,531437.5625
8699,ANGKASA,"B-05-02, OFF JALAN CONNOUGHT",5,926,2016-10-25,425000,415856.90625
27952,CASA RIA,"261-16-1, JALAN JEJAKA",16,1119,2016-10-25,450000,436710.9375
26737,TIVOLI VILLAS,"8-6-5, JALAN MEDANG TANDUK",6,1668,2016-10-25,1010000,1081190.0
35155,PKNS KAMPUNG BARU,"B-4-28D, JALAN RAJA MUDA MUSA",4,840,2016-10-25,180000,188032.578125
29074,NOVA 2,"3-5-2(B-5-2), JALAN 8/38A",5,904,2016-10-25,370000,376769.5625
9733,PUNCAK BANYAN,"B-17-01, LEBUHRAYA ELITE",17,807,2016-10-25,680000,317406.90625
9734,PUNCAK BANYAN,"B-17-01, LEBUHRAYA ELITE",17,807,2016-10-25,340000,317406.90625
38186,GOMBAK COURT,"98, GOMBAK COURT, JALAN CENGAL SELATAN",1,1195,2016-10-25,430000,316850.125
3076,ROYAL DOMAIN SRI PUTRAMAS 2,"B1-06-07, OFF JALAN KUCHING",6,1152,2016-10-25,700000,521827.5625
31822,SRI LEMPAH,"46-4, BL A SRI LEMPAH, LORONG JUGRA",46,558,2016-10-25,100000,127779.3515625
19708,PANGSAPURI MAWAR,"B-3-6, JALAN 7/48A",3,980,2016-10-25,320000,343798.25
32304,BAYU ANGKASA,"B-7-2, JALAN MEDANG KAPAS",7,1582,2016-10-26,900000,969827.875
16858,ENDAH PROMENADE,"C-13-2, JALAN 3/149E",13,1270,2016-10-26,477900,624535.875
36496,ANGSA APARTMENT,"6-3-6, JALAN 6-38A",3,753,2016-10-26,350000,278136.15625
9540,PANGSAPURI BANDAR BARU SENTUL,"77-04-14, OFF JALAN SENTUL",4,560,2016-10-26,150000,157549.546875
11597,KIARA VILLE,"A-5-3A, OFF JALAN DUTA KIARA",5,2508,2016-10-26,1500000,1491376.75
6758,DESA GREEN,"1-20-9, JALAN DESA BAKTI",20,715,2016-10-26,460000,532231.375
7332,GENTING COURT,"7-2-2, OFF JALAN GENTING KLANG",2,802,2016-10-26,270000,247135.953125
27364,TAMAN SRI SENTOSA,"55-02-02, JALAN KLANG LAMA",2,700,2016-10-26,157000,117576.09375
25407,10 MONT KIARA,"BA-31-02, JALAN KIARA 1",31,3704,2016-10-26,3611120,3262049.75
17656,DESA PETALING,"50-4-8, LORONG 1/125C",4,506,2016-10-26,90000,92643.6328125
6539,AMADESA,"C-06-04, JALAN 5/125",6,1238,2016-10-26,450000,460436.875
1828,SOLARIS DUTAMAS,"B3-3A-15, JALAN DUTAMAS 1",3,775,2016-10-26,907420,736946.5625
28632,THE FORUM,"45-01-17, JALAN TUN RAZAK",1,883,2016-10-26,500000,540320.5625
27545,CASA DESA,"D-07-06, JALAN DESA UTAMA, OFF JALAN KLANG LAMA",7,1737,2016-10-26,1000000,936595.3125
6298,ABADI INDAH APARTMENT,"53-1-8, JALAN 2/109C",1,926,2016-10-26,340000,349695.5625
30300,SRI MURNI,"8C-1-6, LORONG KOTA 4",1,1873,2016-10-26,1110000,1004677.375
23345,DORCHESTER,"K-10-4, JALAN SRI HARTAMAS 1",10,409,2016-10-26,330000,339026.375
30784,ANGGUNPURI,"11-10, JALAN DUTAMAS RAYA",11,861,2016-10-26,600000,458013.25
14064,SUASANA SENTRAL LOFT CONDO,"B-19-5, JALAN SENTRAL STESYEN 5",19,1098,2016-10-26,1150000,1063041.875
13872,RIANA GREEN EAST KL,"B-6-7, JALAN WANGSA DELIMA 2",6,3261,2016-10-26,1533000,1398515.75
7076,TASIK HEIGHTS,"A-6-4, JALAN LIKU TASIK SELATAN 21/146",6,855,2016-10-26,275000,264772.09375
7575,PLATINUM HILL PV2,"A-8-10, JALAN TAMAN MELATI 1",8,1324,2016-10-26,590000,507163.15625
19424,TAMAN MIHARJA FASA 2,"23-06-03, JALAN PALONG, OFF JALAN CHERAS",6,799,2016-10-26,230000,257188.421875
1826,SOLARIS DUTAMAS,"B2-18-7, JALAN DUTAMAS 1",18,1249,2016-10-26,1280000,1018165.6875
1827,SOLARIS DUTAMAS,"C1-3A-3, JALAN DUTAMAS 1",3,1249,2016-10-26,677000,1072340.375
6538,AMADESA,"B-10-3, JALAN 5/125",10,1238,2016-10-26,500000,460740.40625
38535,THE ST. REGIS KUALA LUMPUR,"27-8, JALAN STESEN SENTRAL 2",27,1738,2016-10-26,2700000,2075338.375
29235,MONT KIARA PELANGI,"B-0-3, OFF JALAN BUKIT KIARA",0,1389,2016-10-26,572000,859903.4375
29701,NORTHPOINT RESIDENCES,"B-20-5, MEDAN SYED PUTRA UTARA",20,1604,2016-10-26,1738000,1469580.25
18560,DUA RESIDENCY,"A-11-1, JALAN TUN RAZAK",11,2282,2016-10-26,1910000,1847725.0
3453,MIDFIELDS,"C-20-6, JALAN 6/108C",20,1950,2016-10-26,950000,757265.0
29700,NORTHPOINT RESIDENCES,"A-10-11, MEDAN SYED PUTRA",10,1905,2016-10-26,1850000,1717659.75
23922,HAPPY GARDEN FLAT,"BLOK 6-1-1, JALAN 3/127A, TAMAN GEMBIRA",1,721,2016-10-26,500000,213492.234375
30612,OBD GARDEN TOWER,"300-10-17, (P:B10-4/C, JALAN DESA UTAMA",10,1647,2016-10-26,970000,942546.8125
33314,CASA MUTIARA SERVICE APARTMENT,"17-17-3, JALAN HANG ISAP",17,753,2016-10-26,585000,514169.15625
17057,AC4,"C-13A-2, JALAN KLANG LAMA",13,624,2016-10-26,70000,43222.2265625
19575,I-ZEN KIARA II,"13A-1, JALAN KIARA",13,1561,2016-10-26,920000,898647.9375
35989,WISMA SHENCOURT,"500-4-7, JALAN TUN RAZAK",4,850,2016-10-26,240000,180324.015625
6034,LAMAN DAMAI (LI GARDEN),"C-4-9, JALAN KUANG BERTAM 9",4,651,2016-10-26,215000,168791.6875
3775,BUKIT OUG,"9-3A-6, JALAN 3A/155",3,792,2016-10-26,280000,279758.09375
18993,PANGSARIA,"58-3-7, JALAN 1/125E",3,786,2016-10-26,185000,223055.796875
16068,MONT KIARA DAMAI,"1-06, OFF JALAN BUKIT KIARA",1,624,2016-10-26,341000,513863.78125
26111,SRI JATI I,"B-2-3A, JALAN PUCHONG",2,969,2016-10-26,320000,354103.25
5623,KETUMBAR HEIGHTS,"B-1-1, JALAN 6/95B",1,755,2016-10-26,190000,291264.6875
8290,BANDAR BARU WANGSA MAJU,"406, BLOCK C1",12,531,2016-10-26,185000,160539.796875
9981,TAMAN SRI KUCHING,"9-1-1, OFF JALAN KUCHING",1,732,2016-10-27,200000,198941.734375
1621,THE Z RESIDENCE,"JA-8-10, JALAN JALIL PERWIRA",8,1238,2016-10-27,655000,631964.0
6537,AMADESA,"B-17-2, JALAN 5/125",17,1044,2016-10-27,455000,414481.03125
4102,WANGSA MAJU SEKSYEN 1,"305, JALAN 4/27A",5,531,2016-10-27,200000,159429.203125
9732,PUNCAK BANYAN,"B-10-05, LEBUHRAYA ELITE",10,818,2016-10-27,328000,319554.875
33655,PERUMAHAN AWAM SERI LANGKAWI 1,"02-02-12, OFF JALAN GOMBAK",2,560,2016-10-27,175000,135307.34375
16562,KM1 WEST,"A-18-7, JALAN JALIL PERKASA 1",18,1507,2016-10-27,1030000,998870.6875
18634,KENANGA POINT,"A-23-15 (A-23-1), JALAN GELUGOR",23,1066,2016-10-27,560000,446607.875
24524,PALACE COURT (SRI ISTANA),"B-18-5, JALAN KUCHAI JAYA",18,936,2016-10-27,450000,514857.59375
7075,TASIK HEIGHTS,"A-07-05, JALAN LIKU TASIK SELATAN 21/146",7,850,2016-10-27,310000,265525.65625
2661,BANDAR TASIK SELATAN FLAT,"F-12-12, JALAN 30/146",12,657,2016-10-27,165000,144630.125
19865,PUTRA SURIA RESIDENSI,"A-2-12, JALAN JELAWAT 2",2,748,2016-10-27,380000,332508.65625
9831,KINRARA MAS,"B-16-18, JALAN MAS 1",16,1238,2016-10-27,445000,490364.0
9539,PANGSAPURI BANDAR BARU SENTUL,"79-00-07, OFF JALAN SENTUL",0,560,2016-10-27,160000,166772.0625
15280,DYNASTY GARDEN CONDOMINIUM,"A-7-8, TAMAN DINASTI 5",7,1109,2016-10-27,670000,493907.46875
100,OUG PARKLANE,"E2-13-8, JALAN 1/152",13,950,2016-10-27,438000,403524.21875
24664,SRI INTAN 2,"A-7-3, OFF JALAN IPOH",7,1227,2016-10-27,480000,383125.34375
5037,TIFFANI KIARA,"A-30-05, CHANGKAT DUTA KIARA",30,1959,2016-10-27,1065000,1354700.875
6757,DESA GREEN,"3-13-9, JALAN DESA BAKTI",13,715,2016-10-27,530000,501368.78125
8550,CHANGKAT VIEW CONDOMINIUM,"C-17-6, DUTAMAS RAYA",17,1098,2016-10-27,780000,580161.125
3774,BUKIT OUG,"9-11-2, JALAN 34/155",11,775,2016-10-27,265000,282153.21875
28674,ASTON KIARA 3,"A-13A-02, JALAN KIARA 3",13,1593,2016-10-28,1000000,809996.0625
7074,TASIK HEIGHTS,"A-10-04, JALAN LIKU TASIK SELATAN 21/146",10,851,2016-10-28,270000,268962.1875
26736,TIVOLI VILLAS,"2-6-11(P:A-6-6), JALAN MEDANG TANDUK",6,840,2016-10-28,660000,672626.0
36350,MH PLATINUM RESIDENSI,"11-03, JALAN GOMBAK SEJAHTERA",11,682,2016-10-28,396000,343085.21875
32170,LAMAN SCENARIA KIARA,"B-22-3, JALAN 6/38A",22,1019,2016-10-28,600000,657390.625
2845,VILLA WANGSAMAS CONDO,"E-19-1, JALAN SERI WANGSAMAS 2",19,2562,2016-10-28,730000,845060.1875
33812,PUTERA APARTMENT,"11-2-6, JALAN BUKIT SETIAWANGSA",2,958,2016-10-28,400000,363768.4375
28126,DESA PAKAR FLAT,"B-7-13, JALAN SUNGAI BESI",7,518,2016-10-28,85000,74036.4296875
37801,SERAI BUKIT BANDARAYA,"B-16-2, NO.98, JALAN MEDANG SERAI",16,3932,2016-10-28,6721750,2503835.0
23853,SRI JINJANG,"18-8-1, JALAN 19/32",8,990,2016-10-28,345000,269517.59375
31363,SRI TIOMAN II,"38-05-07, JALAN PERTAHANAN",5,581,2016-10-28,240000,130686.8828125
29533,SERI RIANA,"A-21-3, JALAN WANGSA DELIMA 7",21,1378,2016-10-28,820000,765431.125
4401,MUTIARA MAGNA,"C-12-11, JALAN METRO 1",12,657,2016-10-28,140000,140155.296875
26545,VILLA PUTERI CONDO,"33C-28-4 (A-28-5B1), JALAN TUN ISMAIL",28,1087,2016-10-28,590000,564435.25
14271,LA GRANDE KIARA,"B-17-1 (P:B-17-1), JALAN DUTA KIARA",17,2034,2016-10-28,1210000,1055854.25
28955,PERTIWI INDAH,"D-2-3, JALAN PERTIWI",2,1109,2016-10-28,540000,488797.0625
1315,VERVE SUITES,"C-5-7, JALAN KIARA 5",5,926,2016-10-28,950000,1055666.875
38514,JALAN ALOR,"37C, JALAN ALOR",2,1200,2016-10-28,450000,405663.75
8937,PRIMA SETAPAK,"A-21-4, JALAN GENTING KELANG",21,2486,2016-10-28,620000,721835.125
15632,PANORAMA RESIDENCES,"B-5-10, JALAN BULLION MEWAH 9",5,1093,2016-10-28,420000,483985.03125
18056,CENDANA,"B-7-12, JALAN TASIK PERMAISURI 3",7,624,2016-10-28,200000,175563.5
8549,CHANGKAT VIEW CONDOMINIUM,"B-3A-03, JALAN DUTAMAS RAYA",3,1098,2016-10-28,780000,556846.25
26444,PLAZA METRO PRIMA,"B-13-07, JALAN METRO 1",13,958,2016-10-28,350000,356188.90625
2065,TAMAN MELATI,"A15-T2-U4, JALAN 1/5C",2,581,2016-10-28,170000,148532.3125
17956,CENDANA,"B-7-12, JALAN TASIK PERMAISURI 3",7,624,2016-10-28,200000,171139.078125
15459,DESA SRI PUTERI,"D-1-10, JALAN 2/125G",1,603,2016-10-28,140000,105923.34375
23962,PINANG 1C,"24-03-07, OFF JALAN KLANG LAMA",3,926,2016-10-28,320000,260671.65625
12277,SENTUL UTAMA,"B-15-05, JALAN DATO' SENU 26",15,828,2016-10-29,340000,346293.875
32273,MENARA POLO,"H2-8-7, OFF JALAN KAMPUNG PANDAN",8,1485,2016-10-30,560000,587737.625
26157,PANGSAPURI MELUR,"D-19-2, JALAN 2/48A, BANDAR BARU SENTUL, K.L",19,1066,2016-10-31,360000,387839.71875
14531,VISTA MAGNA,"26-5-2, JALAN PRIMA",5,861,2016-10-31,290000,295517.875
36538,SRI LANGIT,"A-2-3, JALAN SEPUTEH 7",2,2992,2016-10-31,1870000,1813598.0
9445,MERCU SUMMER SUITES,"B-23-06, 8 JALAN CENDANA",23,493,2016-10-31,470000,488549.59375
12276,SENTUL UTAMA,"D-13-7, BANDAR SENTUL UTAMA",13,877,2016-10-31,340000,350059.25
11108,RESIDENCE 8,"A-23A-07, JALAN SRI JATI 3",23,1238,2016-10-31,580000,631073.875
813,SRI PENARA,"A-17-3A, JALAN TASIK PERMAISURI 1",17,646,2016-10-31,160000,167892.328125
1086,REGALIA SERVICE APARTMENT,"B-32-6, JALAN SULTAN ISMAIL",32,500,2016-10-31,520000,453215.0
28502,CASA PRIMA,"20-6, JALAN METRO 2, METRO PRIMA KEPONG",20,1150,2016-10-31,418000,462662.34375
7331,GENTING COURT,"5-11-1, JALAN 3/50C",11,832,2016-10-31,220000,264334.625
34536,PANGSAPURI PERMAI,"D-11-4, JALAN LANDAI PERMAI",11,678,2016-10-31,150000,129154.9609375
35286,MIDAH RIA CONDOMINIUM,"18-5-3, JALAN MIDAH 8",5,969,2016-10-31,420000,416963.6875
6754,DESA GREEN,"3-27-9, JALAN DESA BAKTI",27,715,2016-10-31,555000,524236.28125
14622,MONT KIARA PINES,"15A-13-1(S13-A), OFF JALAN BUKIT KIARA",13,1216,2016-10-31,848000,773582.0625
3280,SERINGIN RESIDENCES,"A-1-9, JALAN SENANG RIA",1,1421,2016-10-31,818000,801777.25
6755,DESA GREEN,"1-12-3, JALAN DESA BAKTI",12,715,2016-10-31,430000,500374.75
38253,KENNY HILLS RESIDENCE,"D-G-02, JALAN TUN ISMAIL",1,4865,2016-10-31,4219210,3614815.25
6756,DESA GREEN,"DG1-25-13A, JALAN DESA BAKTI",25,581,2016-10-31,435000,441841.0625
16967,SAVANNA,"B-17-3A, JALAN 1/155A",17,1216,2016-10-31,1005000,642812.25
20154,PERUMAHAN RAKYAT PANTAI PERMAI,"E-01-13, JALAN PANTAI PERMAI",1,646,2016-11-01,200000,158988.4375
13246,IDAMAN SUTERA,"A-10-9, JALAN 13/21D",10,850,2016-11-01,315000,292262.21875
26544,VILLA PUTERI CONDO,"33D-26-6, JALAN TUN ISMAIL",26,1399,2016-11-01,700000,671279.0
23122,IRIS APARTMENT,"A-12-2, JALAN 3/109C",12,646,2016-11-01,240000,220481.921875
8698,ANGKASA,"C-25-9, JALAN PUNCAK GADING",25,926,2016-11-01,470000,430756.25
4101,WANGSA MAJU SEKSYEN 1,"208, OFF JALAN 3/27A, OFF JALAN 1/27A",5,531,2016-11-01,225000,159429.203125
36182,SRI KASTURINA,"1B-4-4, JALAN MEDANG KAPAS",4,2691,2016-11-01,1650000,1873199.625
4866,SRI PUTRAMAS,"E-06-07, OFF JALAN KUCHING",6,1098,2016-11-01,530000,473309.0
29073,NOVA 2,"3-2-5, JALAN 8/38A",2,904,2016-11-01,388000,374848.90625
37246,RSGC VIEW,"D2-3-1, JALAN KAMPUNG PANDAN",3,1475,2016-11-01,630000,555972.3125
30046,BUKIT GEMBIRA,"154-1-10, JALAN RIANG",1,926,2016-11-01,420000,393884.96875
1825,SOLARIS DUTAMAS,"B1-20-1, JALAN DUTAMAS 1",20,1152,2016-11-01,1151000,955844.375
25085,BAIDURI BLOCK G,"G10-4-5, JALAN KAMPUNG PANDAN",4,947,2016-11-01,300000,289619.6875
31900,LAMAN MIDAH,"8-7, JALAN MIDAH 8",8,797,2016-11-01,400000,387471.5
36076,AVANTAS RESIDENCES,"10-3, JALAN KLANG LAMA",10,909,2016-11-01,675000,631261.6875
6753,DESA GREEN,"2-2-12, JALAN DESA BAKTI",2,935,2016-11-01,30000,562973.0
21052,MONT KIARA BAYU,"35-06, JALAN KIARA 2, OFF JALAN BUKIT KIARA BAYU",35,1066,2016-11-01,670000,680927.375
8548,CHANGKAT VIEW CONDOMINIUM,"B-23A-05, DUTAMAS RAYA",23,1098,2016-11-01,590000,580120.1875
35522,KESTANA,"D-3-3, JALAN 2/62D",3,969,2016-11-01,300000,327297.0625
25701,SERI PUTERI,"16-15, JALAN JELAWAT 1, CHERAS",16,1010,2016-11-01,510000,498851.9375
32124,ANGKUPURI,"20-16-3A, JALAN 1/70C",16,1561,2016-11-01,726000,878927.3125
25626,TWIN ARKZ,"B-11-7, JALAN JALIL PERKASA 1",11,721,2016-11-01,580000,650140.25
99,OUG PARKLANE,"E3-9-13A, JALAN 1/152",9,950,2016-11-01,440000,405399.21875
